No,場所名,ひらがな,ホームページ
1,大内宿,おおうちじゅく,
2,塔のへつり,とうのへつり,
3,鶴ヶ城,つるがじょう,
4,会津若松,あいずわかまつ,
5,湯野上温泉,ゆのかみおんせん,
6,猿遊号,さるゆうごう,
7,さざえ堂,ささえど,http://www.sazaedo.jp/
8,猪苗代湖,いなわしろこ,
9,会津レクリエーション公園,,http://www.pref.fukushima.lg.jp/sec/41340a/aizurecpark.html
11,富士の湯,ふじのゆ,http://fujinoyu.jp/
12,Komeda's Coffee,,http://www.komeda.co.jp/search/shopdetail.php?id=770
13,郡山駅,こりやま,
14,あぶくま洞,あぶくまどう,https://abukumado.com/abukuma-access
15,磐越東線,ばんえつとうせん,
16,神俣駅,かんまたえき,
17,飯盛山,いいもりやま,http://iimoriyama.jp/iimori.html
19,岩代観光ホテル,いわしろかんこうほてる,https://inakan.jp/
20,中ノ湯跡,なかのゆしょう,
21,弘法清水,こうぼうしみず,
22,五色沼,ごしきぬま,
23,磐梯山,ばんだいさん,
24,App leo núi ,,YAMAP / ヤマッ‪プ‬ 登山地図・山登りGPSナビ
25,桧原湖第一駐車場,ひばらこだいいちちゅうしゃじょう,
26,cao nguyên,【天空の楽園】磐梯朝日国立公園 浄土平地区 ：環境省 (env.go.jp)
27,giảm tiền trọ,【会津若松市民向け】旅館・ホテル宿泊割引事業,※期間延長になりました。｜イベント｜会津若松の公式観光情報サイト【会津若松観光ナビ】 (aizukanko.com)
28,nhà trọ,二洸旅館（会津若松市）– 2021年 最新料金 (booking.com)
29,lá đỏ,福島県の紅葉人気ランキング,紅葉情報2021 (jorudan.co.jp)
