Mục,Phân loại,Xuất phát,Điểm đến,Bắt đầu,Kết thúc,Khoảng thời gian,Chú thích
1,Thức dậy,-,ホテル（猪苗代湖の周辺）,-,09:00,-,,
2,Di chuyển,ホテル（猪苗代湖の周辺）,ファミリースノーパーク,09:00,10:30,01:30,,
3,Leo núi,ファミリースノーパーク,磐梯山の山頂,10:30,14:20,03:50,,
4,Xuống núi,磐梯山の山頂,ファミリースノーパーク,14:30,18:45,04:15,,
5,Di chuyển,ファミリースノーパーク,Airbnbホテル（会津若松市）,18:45,19:30,00:45,Để đồ đạc lại nhà nghỉ,
6,Di chuyển,Airbnbホテル,富士の湯,19:30,20:00,00:30,Đi tắm Onsen,
7,Tắm nước nóng,富士の湯,-,20:00,22:00,02:00,,
8,Về nhà,富士の湯,Airbnbホテル,22:00,22:30,00:30,,
9,Ăn tối,Airbnbホテル,-,22:30,23:30,01:00,,
10,Ngủ,Airbnbホテル,-,23:30,-,-,,
