年,時代 (ベトナム),イベント (ベトナム),時代 (日本),イベント (日本)
100000年前,,,旧石器時代,日本列島に人類の痕跡が見つかる(金取遺跡で石器が出土)
18000年前,,,,浜北人、港川人が出現
14000年前,,,縄文時代,海面が上昇(縄文海進)し、日本列島が出来る
10000年前,先史時代　そして、ベトナム国家形成の萌芽とそれを潰した中国による支配,ホアビン文化,,
5000年前,,,,縄文時代の最盛期
3000年前,,,,稲作が伝わり、西日本で稲作が始まる。
2887年前,ヴァンラン（文郎）時代,ヴァンラン（文郎）国樹立。フン・ヴォン（雄王）による支配,,
2000年前,,水稲耕作が東南アジア各地に広がる。,,
1100年前,,青銅器文化が東南アジア各地に広まる。,,
400年前,,,弥生時代,
300年前,,ドンソン文化（鉄器）,,
258年前,甌雒（アウラク）時代,"蜀泮（トゥクファン）は、文郎国の王雄王に譲位を迫った。
西甌・駱越の2国は甌雒（アウラク）として新しい国が誕生した。",,
208年前,南越国 時代,チョウ・タ（趙陀）が中国広州に南越王国（ナムヴィエト）を建国。ベトナム北部まで支配。,,
111年前,"北属期
（漢から唐までの中国王朝支配期）","南越王国、前漢武帝により征服され、ベトナムの国家形成の芽がつみ取られる。
以後およそ１０００年間、ベトナム北部は中国の支配下におかれる。",,
40年,,"ハイ・バー・チュンの乱
ハノイ北西の豪族の娘チュン・チャック（徴側）とチュン・ニ（徴弐）姉妹を指導者とする",,
57年,,,,倭の奴国王が後漢に使者を送る
239年,,,,邪馬台国の卑弥呼が魏に使者を送る
350半,,,古墳時代,大和王権が誕生する
478年,,,,倭の五王の武が宋(南朝)に使者を送る
538年,,,,仏教伝来(552年説あり)
587年,,,,蘇我馬子が物部守屋を滅ぼす
593年,,,飛鳥時代,聖徳太子(厩戸王)が摂政となる
603年,,,,冠位十二階を制定
604年,,,,十七条憲法を制定
607年,,,,小野妹子を使者として隋に遣隋使を贈る
630年,,,,第一回遣唐使を派遣
645年,,,,大化の改新が始まる
663年,,,,白村江の戦い
672年,,,,壬申の乱
694年,,,,藤原京に遷都
701年,,,,大宝律令が完成
710年,,,奈良時代,平城京に遷都
743年,,,,"墾田永年私財法を施行
公地公民制が崩壊し、荘園が発生"
752年,,,,東大寺大仏の開眼供養
761年,,阿倍仲麻呂が安南都護府（現在のハノイ）に赴任。,,
784年,,,,長岡京に遷都
794年,,,平安時代,平安京に遷都
802年,,,,坂上田村麻呂が胆沢城(いさわじょう)を築く
858年,,,,藤原良房(よしふさ)が摂政になる
866年,,,,応天門の変、伴 善男(とものよしお)と紀 豊城(きのとよき)らが流罪となる
884年,,,,藤原基経が関白になる
894年,,,,遣唐使が廃止される
901年,,,,昌泰の変(しょうたいのへん)、菅原道真が太宰府に左遷される
939年,呉朝（ゴー朝）,ゴ・クエン（呉権）によって、およそ１０００年ぶりに中国の支配から脱出するが、安定せず。,,平将門の乱(～940年)、藤原純友の乱(～941年)
968年,丁朝（ていちょう、ディンちょう）,丁部領は北ベトナムの主導権を握る,,
980年,前黎朝（レー朝）,黎桓（レ・ホアン）は丁部領の下で十道将軍に任じられ、軍事を司っていた[,,
1010年,李朝（1010～1225）,リ・タイ・トー（李太祖）、都をタン・ロン（昇龍）＝現在のハノイにおく。ベトナム最初の長期王朝。,,
1016年,,,,藤原道長が摂政になる
1051年,,,,前九年合戦(～1062年)
1054年,,リ・タイン・トン（李聖宗：3代目）が国号をダイ・ヴィェト（大越）と定める。,,
1069年,,,,後三条天皇が荘園の整理を行う
1075年,,李朝と中国（宋朝）が国境の帰属問題から戦う,,
1083年,,,,後三年合戦(～1087年)
1086年,,,,白河上皇が院政を開始する
1156年,,,,保元の乱
1159年,,,,平治の乱
1167年,,,,平清盛が太政大臣になる
1180年,,,,源頼朝が挙兵、石橋山野戦い、治承・寿永の乱(源平争乱)(～1185年)
1183年,,,,倶利伽羅峠の戦い後、源義仲が都に入る
