No,内容,開始,終了,期間,備考
1,"移動：新宿 → 上高地バスターミナル<br>乗り物：バス",22:30,5:20,6:50,
2,"+ 朝ごはん (東京から持っていく)<br>+ 休憩<br>+ 荷物の預かり (個人に必要があれば)",5:20,6:20,01:00,"受付時間ｎ 06:00 ~ 18:00<br>Campsite : 小梨平キャンプ<br>http://www.nihonalpskankou.com/facility/camp.php"
3,"移動 : 上高地バスターミナル  →　明神",6:20,10:10,03:50,約0.3km<br>実際当日雨が降ったので、時間がよりかかりました。
5,移動 : 明神 → 徳沢園,10:10,12:00,01:50,
6,テントを張る,12:00,12:30,0:30,"800円/人 (Entry fee)"
7,"昼ごはん、休憩",12:30,14:20,01:50,約2.5km
8,移動 : 徳沢園 → 横尾,14:20,15:20,01:00,
9,写真を撮る、休憩 横尾,15:20,15:50,00:30,
10,移動 : 横尾 → 徳沢園,15:50,17:00,01:10,
11,"休憩、ソフトクリームを体験",17:00,17:45,00:45,
12,夕食,17:45,18:30,0:45,
13,休憩,18:30,19:45,01:15,
14,手持ちの花火,19:45,20:30,00:45,
15,宴会,20:30,21:30,01:00,
16,お休み,9:30,翌朝まで,,
