Mục,Nội dung,Bắt đầu,Kết thúc,Khoảng thời gian,Chú thích
1,"新宿 → 上高地バスターミナル<br>乗り物：バス",22:30,5:20,6:50,
2,"+ Ăn sáng (cá nhân tự mang đồ ăn)<br>+ Nghỉ ngơi<br>+ Gửi đồ (Nếu cần thiết với cá nhân)",5:20,6:20,01:00,"Tiếp tân phục vụ từ 06:00 ~ 18:00<br>Campsite : 小梨平キャンプ<br>http://www.nihonalpskankou.com/facility/camp.php"
3,"Di chuyển : 上高地バスターミナル  →　明神",6:20,10:10,03:50,約0.3km<br>Giữa đường có mưa nên mất thêm thời gian
5,Di chuyển : 明神 → 徳沢園,10:10,12:00,01:50,
6,Dựng trại,12:00,12:30,0:30,"800y/ng (Entry fee)"
7,"Ăn trưa, nghỉ trưa",12:30,14:20,01:50,約2.5km
8,Di chuyển : 徳沢園 → 横尾,14:20,15:20,01:00,
9,Chụp ảnh tại 横尾,15:20,15:50,00:30,
10,Di chuyển : 横尾 → 徳沢園,15:50,17:00,01:10,
11,"Nghỉ ngơi, ăn kem",17:00,17:45,00:45,
12,Ăn tối,17:45,18:30,0:45,
13,Nghỉ ngơi,18:30,19:45,01:15,
14,Nghịch pháo bông,19:45,20:30,00:45,
15,Hội trại,20:30,21:30,01:00,
16,Ngủ,9:30,Sáng mai,,
