Mục lớn,Mục con,Loại tài liệu (Nhật),Loại tài liệu (Việt),Các bước,Chú thích
1,,在留資格変更許可申請書,Đơn đăng ký chuyển đổi visa,"1.Điền thông tin phần bản thân.<br>2.Nhờ công ty điền phần thông tin công ty (có đóng dấu).<br>3.Gắn 2 phần lại với nhau","Link download : http://www.moj.go.jp/isa/applications/procedures/16-1-1.html<br>Chú ý phần cho dân IT là phần （２） 【高度専門職１号ロ】 ....専門的技術又は知識を...."
2,,写真（縦４cm×横３cm） ,Ảnh cá nhân,"1.Chụp ảnh mới.<br>2.Ghi tên cá nhân<br>3.Dán vào tài liệu","Ảnh mới chụp trong 3 tháng gần nhất, phía sau có ghi tên cá nhân, và dán vào trong tài liệu 1 phần ảnh cá nhân"
3,,"申請人のパスポート及び在留カード","Thẻ lưu trú hoặc passport của bản thân",,"Chỉ cần đưa ra khi nộp là được, không cần tạo bản copy"
4,," 本邦において行おうとする活動に応じて，入管法施行規則別表第３の「教授」から「報道」まで又は「経営・管理」から「技能」までのいずれかの在留資格の項の下欄に掲げる資料※ ",Các tài liệu chứng minh loại công việc của bản thân,,Phần này mình thấy đã trùng với các tài liệu ở mục 6 nên không cần chuẩn bị thêm.
5,,ポイント計算表（参考書式）,Bảng tính điểm,"1.Download bảng tính điểm<br>2.Điền bảng tính điểm<br>3.Ký tên, đóng dấu",
6,,ポイント計算表の各項目に関する疎明資料（基本例）,Các tài liệu chứng minh điểm số cho mục 5,,
6,1,"該当する学歴の卒業証明書及び学位取得の証明書（ただし，⑱を提出する場合は提出不要）","Tài liệu chứng minh học vị và lịch sử học vấn","1.Photo bằng tốt nghiệp<br>2.Photo bảng điểm khi tốt nghiệp"
6,2,"入管法別表第１の２の表の高度専門職の在留資格をもって在留する外国人（以下「高度専門職外国人」といいます。）として従事しようとする業務に従事した期間及び業務の内容を明らかにする資料（所属していた機関作成のもの）","Tài liệu chứng minh ta đang làm việc đúng ngành nghề","1.Nhờ công ty cấp 在職証明書 có ghi rõ nội dung công việc đang làm（業務内容）.<br> 2.Nếu đã từng chuyển việc thì cần nộp cả 退職証明書 ghi rõ nội dung công việc đã làm （業務内容）","Trường hợp của mình thì nội dung công việc ghi đơn giản là ソフトウェアエンジニアリング với 在職証明書 và nội dung chi tiết hơn, làm về offshore, tool công ty v.v... ở 退職証明書, theo mình thì nếu được thì nên ghi càng đầy đủ càng tốt"
6,3,"年収（契約機関及び外国所属機関から受ける報酬の年額）を証する文書","Chứng minh thu nhập theo năm","1.Nhờ công ty cung cấp 給与支払見込証明書 Giấy xác nhận thu nhập dự kiến có đóng dấu","Chú ý là không phải thu nhập đã được nhận của các năm trước mà là thu nhập dự kiến trong năm nay"
6,4,"発明者として特許を受けた発明が 1 件以上","Bằng sáng chế",,Mình không có cái này nên bỏ
6,5,"入国前に外国政府から補助金競争的資金その他の金銭の給付を受けた研究に３回以上従事","Chứng minh trước khi nhập cảnh thì có nhận được tiền hỗ trợ từ chính phủ 3 lần trở lên",,Mình không có cái này nên bỏ
6,6,"学術論文データベースに登載 されている学術雑誌に掲載された論文が３本以上","Có 3 bài nghiên cứu được đăng trên các tạp chí khoa học trở lên",,Mình không có cái này nên bỏ
6,7,"その他法務大臣が認める研究実績","Có thành tích được bộ trưởng về pháp luật công nhận",,Mình không có cái này nên bỏ
6,8,"従事しようとする業務に関連する日本の国家資格（業務独占資格又は名称独占資格）を保有，又はIT告示に定める試験に合格し若しくは資格を保有","Bằng cấp có về chuyên môn được Nhật Bản công nhận, hoặc là có các công bố trong giới IT thừa nhận việc đỗ đạt bằng cấp hoặc có sở hữu bằng cấp",,"Mình nộp bằng FE và cũng đã được công nhận"
6,9,"活動機関が入管法別表第１の２の表の高度専門職の項の下欄の基準を定める省令第１条第１項各号の表の特別加算の項の規定に基づき法務大臣が定める法律の規定等を定める件別表第１又は別表第２に掲げるイノベーションを促進するための支援措置を受けている","Chứng nhận được hỗ trợ bởi bộ trưởng pháp luật liên quan đến các hoạt động thúc đẩy",,Mình không có cái này nên bỏ
6,10,"活動機関が中小企業基本法に規定する中小企業者","Công ty thoả mãn điều kiện công ty vừa và nhỏ",,Mình cũng không hiểu lắm nhưng cũng không làm cái này
